,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Pressure,Wind Speed,Real Feel Temp,City ID
94,Port Macquarie,AU,69,1634661800,91,-31.4333,152.9167,60.89,60.76,1015,11.45,60.96,2152659
95,Tuktoyaktuk,CA,90,1634661801,100,69.4541,-133.0374,19.4,19.4,1011,8.05,9.46,6170031
96,Saint George,US,1,1634661658,51,37.1041,-113.5841,59.47,45.19,1021,1.01,47.62,5546220
97,Celestún,MX,100,1634661803,57,20.8667,-90.4,86.32,86.32,1014,1.66,90.63,3531368
98,Florence,IT,0,1634661583,60,43.7667,11.25,66.54,59.65,1027,3.44,62.85,3176959
99,Pangoa,PE,100,1634661804,89,-12.1167,-73.0,75.74,75.74,1014,3.33,77.2,3933104
100,Baruun-Urt,MN,9,1634661805,56,46.6806,113.2792,29.66,29.66,1027,6.35,23.16,2032614
101,Deputatsky,RU,17,1634661805,91,69.3,139.9,-13.95,-13.95,1012,4.79,-26.52,2028164
102,Waikuku,NZ,99,1634661806,93,-43.3,172.6833,46.04,37.69,1027,4.54,40.15,2180219
103,Ust'-Omchug,RU,66,1634661807,100,61.15,149.6333,-17.05,-17.05,1019,1.23,-17.05,2120047
104,Portland,US,75,1634661644,85,45.5234,-122.6762,54.21,42.73,1011,1.01,49.01,5746545
105,Alice Springs,AU,64,1634661808,28,-23.7,133.8833,83.75,83.75,1013,6.91,81.63,2077895
106,Emiliano Zapata,MX,20,1634661808,53,18.8333,-99.1833,85.57,77.61,1022,3.44,77.58,3527879
107,Aklavik,CA,81,1634661810,96,68.2191,-135.0107,16.63,14.72,1010,5.93,8.01,5882953
108,Mount Isa,AU,40,1634661810,32,-20.7333,139.5,82.17,82.17,1012,5.75,80.78,2065594
109,Havøysund,NO,100,1634661811,77,70.9963,24.6622,30.43,23.88,1014,5.91,24.44,779622
110,Tromsø,NO,0,1634661812,63,69.6496,18.957,27.37,25.45,1012,3.44,23.04,6453316
111,Bredasdorp,ZA,0,1634661541,82,-34.5322,20.0403,64.27,64.27,1021,14.99,64.26,1015776
112,Butaritari,KI,34,1634661582,67,3.0707,172.7902,82.2,82.2,1011,8.52,86.14,2110227
113,Kasamwa,TZ,100,1634661814,79,-2.85,32.4333,68.7,68.7,1011,1.83,68.99,158289
114,Port Elizabeth,ZA,20,1634661545,77,-33.918,25.5701,65.1,64.69,1024,11.5,64.47,964420
115,Chui,UY,10,1634661753,55,-33.6971,-53.4616,66.6,66.6,1023,10.27,65.53,3443061
116,Souillac,MU,75,1634661815,78,-20.5167,57.5167,74.35,73.78,1021,9.22,74.52,933995
117,Marienberg,DE,100,1634661816,86,50.65,13.1667,55.38,49.68,1020,8.14,51.24,2873632
118,Athabasca,CA,100,1634661817,57,54.7169,-113.2854,34.63,30.61,1025,15.82,20.3,5887916
119,Port Lincoln,AU,100,1634661818,63,-34.7333,135.8667,61.83,61.83,1012,23.38,60.67,2063036
120,Ucluelet,CA,96,1634661818,74,48.9329,-125.5528,53.1,43.05,1008,1.01,50.02,6171633
121,Port Hedland,AU,97,1634661819,73,-20.3167,118.5667,77.05,77.05,1014,9.22,77.88,2063042
122,Kiryat Gat,IL,49,1634661820,12,31.61,34.7642,74.08,70.39,1020,5.95,69.53,293842
123,Broome,US,1,1634661820,60,42.2506,-75.833,63.01,55.36,1000,4.0,57.49,5110365
124,Kapaa,US,75,1634661821,89,22.0752,-159.319,73.72,67.48,1020,16.11,71.13,5848280
125,Hong Kong,HK,70,1634661801,78,22.2855,114.1577,80.33,75.96,1016,1.99,79.74,1819729
126,Police,PL,100,1634661822,81,53.5521,14.5718,56.97,55.24,1016,9.48,54.81,3088461
127,Palmer,US,20,1634661823,40,42.1584,-72.3287,61.32,53.73,1012,1.01,54.68,4946620
128,Arraial do Cabo,BR,75,1634661824,88,-22.9661,-42.0278,69.76,69.66,1018,4.61,70.47,3471451
129,Hasaki,JP,100,1634661825,87,35.7333,140.8333,55.69,54.0,1006,12.48,53.26,2112802
130,Bethel,US,1,1634661826,60,41.3712,-73.414,63.03,55.49,1013,3.0,57.92,5282297
131,Bluff,NZ,78,1634661826,60,-46.6,168.3333,47.37,47.37,1028,12.1,42.08,2206939
132,Bubaque,GW,98,1634661827,75,11.2833,-15.8333,83.98,83.98,1010,9.33,92.12,2374583
133,Clyde River,CA,40,1634661573,86,70.4692,-68.5914,34.03,34.03,1013,3.44,31.05,5924351
134,Lebu,CL,0,1634661828,70,-37.6167,-73.65,60.94,60.94,1014,10.98,60.03,3883457
135,Loukhi,RU,55,1634661829,83,66.0764,33.0381,28.06,28.06,1014,5.1,22.35,533964
136,Plátanos,GR,40,1634661830,78,37.6667,21.6167,66.76,59.56,1026,1.03,64.04,255030
137,Walvis Bay,NA,0,1634661830,72,-22.9575,14.5053,61.75,60.1,1014,8.05,61.02,3359638
138,Macheng,CN,100,1634661602,82,31.1783,115.0319,55.83,55.83,1023,7.0,54.97,1801582
139,General Cepeda,MX,100,1634661831,43,25.3833,-101.45,69.21,69.21,1015,2.1,67.86,4005870
140,Yellowknife,CA,40,1634661832,96,62.456,-114.3525,42.42,35.56,1019,6.91,33.31,6185377
141,Sechura,PE,100,1634661666,65,-5.5569,-80.8222,74.03,74.03,1014,9.71,74.19,3691954
142,Taoudenni,ML,47,1634661668,11,22.6783,-3.9836,93.29,93.29,1013,18.21,88.74,2450173
143,Champerico,GT,95,1634661834,75,14.3,-91.9167,90.77,84.04,1013,8.72,94.93,3598787
144,Rindal,NO,100,1634661834,86,63.0565,9.2124,42.44,42.44,998,6.42,38.41,3141866
145,Boquira,BR,89,1634661835,32,-12.8231,-42.7306,88.75,88.75,1009,8.75,86.92,3469190
146,Longyearbyen,SJ,20,1634661559,73,78.2186,15.6401,15.64,15.64,1022,11.5,3.04,2729907
147,Leningradskiy,RU,100,1634661837,89,69.3833,178.4167,25.07,25.07,998,10.76,14.72,2123814
148,Astoria,US,1,1634661837,88,46.1879,-123.8313,52.86,45.97,1010,5.01,47.62,5711847
149,Shimoda,JP,69,1634661677,74,34.6667,138.95,56.1,56.1,1006,21.77,54.9,1852357
150,Atuona,PF,31,1634661838,76,-9.8,-139.0333,77.67,77.67,1017,21.23,78.71,4020109
151,Brae,GB,100,1634661754,97,60.3964,-1.353,53.51,53.51,993,5.46,53.11,2654970
152,Bairiki Village,KI,20,1634661840,83,1.3292,172.9752,78.8,78.8,1010,1.14,78.8,7601762
153,Klaksvík,FO,95,1634661841,97,62.2266,-6.589,50.92,50.92,989,6.44,50.27,2618795
154,Adré,TD,38,1634661842,21,13.4667,22.2,86.34,86.34,1008,7.56,83.17,245669
155,Mar del Plata,AR,0,1634661621,46,-38.0023,-57.5575,69.82,69.82,1022,13.8,68.67,3430863
156,Butzbach,DE,77,1634661843,93,50.4339,8.6712,60.76,51.03,1020,5.66,53.38,2940512
157,Saa,CM,96,1634661844,96,4.3667,11.45,72.18,72.18,1010,5.46,73.6,2222366
158,Togur,RU,93,1634661846,89,58.3631,82.8265,41.38,41.38,1021,8.19,36.18,1489499
159,Laela,TZ,94,1634661846,24,-8.5667,32.05,79.16,79.16,1010,10.22,79.16,156098
160,Shakiso,ET,97,1634661847,83,5.75,38.9167,61.88,61.88,1017,0.87,61.66,328716
161,Bereda,ES,77,1634661848,55,43.2686,-7.5406,76.41,68.88,1017,8.39,74.98,3105522
162,Puerto Madryn,AR,1,1634661848,38,-42.7692,-65.0385,69.55,69.55,1016,9.66,67.98,3840092
163,Srednekolymsk,RU,32,1634661849,98,67.45,153.6833,-6.79,-6.79,1013,6.11,-19.39,2121025
164,Lompoc,US,1,1634661850,74,34.6391,-120.4579,65.57,51.94,1016,4.0,57.56,5367788
165,Carnarvon,AU,40,1634661607,68,-24.8667,113.6333,66.27,66.27,1016,13.8,65.8,2074865
166,Neuquén,AR,0,1634661556,25,-38.9516,-68.0591,78.69,78.69,1017,8.05,77.43,3843123
167,Hilo,US,90,1634661607,88,19.7297,-155.09,70.39,68.11,1018,5.75,69.49,5855927
168,Brădeni,RO,31,1634661852,71,46.0833,24.8333,44.42,43.92,1029,2.35,44.01,683963
169,Awjilah,LY,88,1634661853,34,29.1081,21.2869,77.4,77.4,1021,12.1,76.44,88533
